state,party,finance.better,child.indep,child.curio,child.obed,child.consid,women.favors,women.comp,women.hire,year,Religion,President
17,3,3,5,1,3,3,5,3,2,2004,Not Religious,John Kerry
6,3,1,5,5,1,1,4,5,2,2004,Protestant,John Kerry
47,2,2,5,5,1,1,3,4,4,2004,Protestant,George W. Bush
5,3,3,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA
22,2,NA,5,5,1,5,3,3,2,2004,Protestant,George W. Bush
53,3,3,5,1,5,1,5,2,1,2004,Protestant,Ralph Nader
6,2,3,5,5,1,1,4,4,2,2004,Catholic,George W. Bush
55,1,2,5,5,5,1,5,1,1,2004,Protestant,John Kerry
6,5,3,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA
1,2,3,5,1,5,1,4,2,2,2004,Protestant,George W. Bush
6,3,2,5,5,5,1,3,3,3,2004,Protestant,NA
36,3,1,1,1,1,5,3,2,4,2004,Catholic,NA
34,5,1,5,5,1,5,3,5,3,2004,Protestant,John Kerry
24,2,1,5,5,1,1,4,3,2,2004,Protestant,George W. Bush
25,3,3,5,1,5,1,5,5,2,2004,Not Religious,John Kerry
8,3,3,5,5,3,3,5,4,2,2004,Not Religious,John Kerry
9,3,2,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA
6,2,2,5,1,5,1,3,3,2,2004,Catholic,George W. Bush
36,5,3,NA,NA,NA,NA,NA,NA,NA,2004,Catholic,NA
36,1,1,1,5,1,1,5,2,1,2004,Protestant,John Kerry
51,2,3,5,5,5,5,5,2,4,2004,Other Religion,George W. Bush
36,3,3,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA
6,2,2,5,1,1,1,4,2,2,2004,Not Religious,George W. Bush
39,2,1,5,5,1,1,3,2,4,2004,Protestant,George W. Bush
1,1,3,5,5,1,5,1,2,1,2004,Protestant,NA
51,1,3,5,5,1,3,5,3,1,2004,Protestant,John Kerry
26,1,3,5,3,3,3,5,5,1,2004,Protestant,NA
6,1,3,1,5,1,5,2,5,2,2004,Catholic,NA
22,1,2,5,5,1,3,4,4,2,2004,Protestant,John Kerry
1,5,2,3,3,3,3,5,5,1,2004,Protestant,George W. Bush
22,3,1,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA
34,3,3,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA
27,3,3,1,1,1,1,4,4,4,2004,Catholic,George W. Bush
19,3,2,5,1,1,1,4,4,4,2004,Protestant,George W. Bush
26,5,3,1,5,1,1,5,4,2,2004,Protestant,NA
27,3,3,5,5,1,5,2,4,4,2004,Catholic,John Kerry
55,3,3,5,5,3,5,3,4,5,2004,Catholic,John Kerry
49,3,1,5,1,1,1,2,3,1,2004,Not Religious,George W. Bush
34,2,3,5,5,1,5,4,5,1,2004,Protestant,NA
12,2,3,5,5,5,1,4,5,3,2004,Protestant,George W. Bush
12,2,3,5,5,1,1,4,4,2,2004,Not Religious,George W. Bush
22,2,4,5,5,1,1,2,1,2,2004,Protestant,George W. Bush
27,3,3,5,5,5,5,4,3,4,2004,Catholic,NA
12,2,2,5,5,5,1,4,3,2,2004,Catholic,George W. Bush
26,3,2,5,5,5,1,4,2,2,2004,Protestant,NA
26,2,3,5,5,1,1,3,4,2,2004,Protestant,George W. Bush
25,1,3,NA,NA,NA,NA,NA,NA,NA,2004,Not Religious,NA
51,2,2,5,5,1,1,4,4,4,2004,Protestant,George W. Bush
24,3,3,NA,NA,NA,NA,NA,NA,NA,2004,Protestant,NA
6,3,3,1,1,5,1,2,4,2,2004,Not Religious,George W. Bush
48,1,1,5,5,1,5,4,4,2,2004,Protestant,John Kerry
18,3,4,5,5,1,5,4,1,1,2004,Protestant,NA
41,5,NA,3,3,5,1,5,5,1,2004,NA,John Kerry
